"","pitch_type","start_speed","px","pz","des","stand"
"1","FF",90.2,0.044,3.023,"Swinging Strike","R"
"2","SL",80.3,1.408,1.565,"Swinging Strike","R"
"3","SL",79,0.316,2.781,"Swinging Strike","R"
"4","SL",79.7,-0.232,2.165,"Swinging Strike","R"
"5","KC",76.9,1.217,0.713,"Swinging Strike (Blocked)","R"
"6","SL",81.8,1.75,1.459,"Swinging Strike","R"
"7","SL",81.6,0.814,1.254,"Swinging Strike","R"
"8","CH",81.1,1.468,2.157,"Swinging Strike","R"
"9","CH",79.9,-0.932,1.379,"Swinging Strike","R"
"10","SL",82.1,0.237,1.103,"Swinging Strike","R"
